id,antiguedad_meses,antiguedad_cliente,fuga,ind_satisfaccion,satisfaccion_stuacion,nro_casos_soporte,var_nro_casos_soporte,tuvo_problemas,soporte_situacion,prioridad_soporte,prioridad_soporte_situacion,var_prioridad_soporte,var_nro_login,var_uso_servicio,var_beneficio_usuario,var_dias_ult_conexion,conexion_ultimo_mes
138,26,1,0.0,326.0,-1,20.0,16.0,1,-1,3.0,-2,0.0,348.0,22.0,-114.0,-2.0,0
1616,10,1,0.0,226.0,1,0.0,-30.0,1,1,0.0,0,-3.0,-18.0,14.0,-36.0,0.0,-1
1703,8,1,0.0,312.0,1,16.0,14.0,1,-1,3.0,-2,0.0,42.0,14.0,6.0,3.0,-1
1713,8,1,0.0,324.0,1,18.0,16.0,1,-1,3.0,-2,0.0,368.0,34.0,122.0,0.0,-1
137,20,1,0.0,238.0,-1,0.0,0.0,0,0,0.0,0,0.0,22.0,-12.0,-36.0,-2.0,0
160,26,1,0.0,250.0,-1,0.0,0.0,0,0,0.0,0,0.0,0.0,-14.0,-694.0,-2.0,0
183,24,1,0.0,558.0,-1,12.0,0.0,1,0,3.0,-2,-0.3333333432674408,-74.0,-12.0,-2308.0,0.0,-1
240,24,1,1.0,244.0,-1,0.0,0.0,0,0,0.0,0,0.0,14.0,-14.0,66.0,-2.0,0
565,30,2,0.0,376.0,-1,0.0,0.0,0,0,0.0,0,0.0,28.0,-14.0,282.0,-3.0,0
703,70,2,0.0,300.0,-1,0.0,0.0,0,0,0.0,0,0.0,-50.0,-24.0,44.0,-1.0,0
735,38,2,0.0,460.0,1,0.0,0.0,0,0,0.0,0,0.0,106.0,16.0,-1730.0,0.0,-1
822,52,2,0.0,458.0,-1,6.0,0.0,1,0,3.0,-2,0.6666666865348816,132.0,-26.0,906.0,0.0,-1
859,48,2,0.0,450.0,1,0.0,0.0,0,0,0.0,0,0.0,272.0,-20.0,-962.0,0.0,-1
872,50,2,0.0,390.0,-1,2.0,0.0,1,0,3.0,-2,0.0,58.0,-12.0,-76.0,-1.0,0
949,48,2,0.0,440.0,1,0.0,0.0,0,0,0.0,0,0.0,200.0,20.0,164.0,-1.0,0
980,46,2,0.0,360.0,1,0.0,0.0,0,0,0.0,0,0.0,44.0,-16.0,-470.0,0.0,-1
1034,24,1,0.0,234.0,-1,0.0,0.0,0,0,0.0,0,0.0,-6.0,-12.0,-2934.0,-3.0,0
1113,20,1,0.0,266.0,1,0.0,0.0,0,0,0.0,0,0.0,334.0,14.0,-194.0,7.0,-1
1162,18,1,0.0,310.0,1,0.0,0.0,0,0,0.0,0,0.0,16.0,60.0,-102.0,1.0,-1
1178,20,1,0.0,442.0,1,0.0,0.0,0,0,0.0,0,0.0,74.0,16.0,194.0,0.0,-1
1229,18,1,0.0,232.0,-1,0.0,0.0,0,0,0.0,0,0.0,-6.0,-14.0,-586.0,0.0,-1
1368,16,1,0.0,224.0,-1,0.0,0.0,0,0,0.0,0,0.0,30.0,-14.0,-20.0,-1.0,0
1433,12,1,0.0,260.0,1,0.0,0.0,0,0,0.0,0,0.0,-34.0,-16.0,0.0,0.0,-1
1447,6,1,0.0,354.0,1,0.0,0.0,0,0,0.0,0,0.0,384.0,28.0,0.0,0.0,-1
1454,12,1,0.0,372.0,1,0.0,0.0,0,0,0.0,0,0.0,-56.0,-30.0,230.0,0.0,-1
1504,12,1,0.0,248.0,-1,2.0,0.0,1,0,3.0,-2,0.0,136.0,40.0,2.0,0.0,-1
1683,6,1,0.0,82.0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,20.0,0.0,0.0,-1
1709,8,1,0.0,376.0,1,0.0,0.0,0,0,0.0,0,0.0,124.0,102.0,16.0,0.0,-1
1819,6,1,0.0,124.0,1,0.0,0.0,0,0,0.0,0,0.0,56.0,50.0,0.0,0.0,-1
975,44,2,0.0,322.0,1,2.0,2.0,1,-1,3.0,-2,3.0,84.0,14.0,-192.0,-2.0,0
1050,22,1,0.0,254.0,1,8.0,2.0,1,-1,3.0,-2,0.0,28.0,-40.0,-54.0,0.0,-1
1092,22,1,0.0,192.0,-1,4.0,2.0,1,-1,3.0,-2,0.0,-2.0,-12.0,28.0,7.0,-1
1111,22,1,0.0,248.0,-1,2.0,2.0,1,-1,3.0,-2,3.0,-24.0,-12.0,-300.0,0.0,-1
1115,20,1,1.0,282.0,-1,2.0,2.0,1,-1,0.0,0,0.0,-2.0,-12.0,-666.0,-1.0,0
1318,16,1,0.0,486.0,1,4.0,2.0,1,-1,3.0,-2,0.0,214.0,24.0,-2384.0,-1.0,0
1423,14,1,0.0,312.0,1,2.0,2.0,1,-1,3.0,-2,3.0,0.0,30.0,-214.0,-10.0,0
1545,12,1,0.0,330.0,-1,2.0,2.0,1,-1,3.0,-2,3.0,-42.0,22.0,28296.0,0.0,-1
316,28,1,0.0,366.0,1,0.0,-2.0,1,1,0.0,0,-3.0,-24.0,-26.0,214.0,0.0,-1
605,58,2,0.0,382.0,-1,0.0,-2.0,1,1,0.0,0,-3.0,76.0,18.0,-80.0,13.0,-1
725,68,2,0.0,250.0,-1,6.0,-2.0,1,1,3.0,-2,0.0,-126.0,-12.0,-336.0,0.0,-1
738,40,2,0.0,460.0,-1,0.0,-2.0,1,1,0.0,0,-3.0,28.0,-30.0,312.0,0.0,-1
785,38,2,0.0,374.0,-1,0.0,-2.0,1,1,0.0,0,-3.0,-68.0,-18.0,-220.0,0.0,-1
1174,20,1,0.0,332.0,-1,2.0,-2.0,1,1,3.0,-2,-0.5,-124.0,-14.0,2146.0,0.0,-1
1287,16,1,0.0,212.0,-1,0.0,-2.0,1,1,0.0,0,-3.0,-76.0,-16.0,-34.0,0.0,-1
1605,10,1,0.0,274.0,1,0.0,-2.0,1,1,0.0,0,-3.0,4.0,14.0,18.0,0.0,-1
210,30,2,0.0,284.0,-1,4.0,4.0,1,-1,3.0,-2,3.0,164.0,14.0,-476.0,-2.0,0
1406,8,1,0.0,334.0,1,4.0,4.0,1,-1,3.0,-2,3.0,240.0,20.0,0.0,5.0,-1
1565,12,1,0.0,274.0,1,4.0,4.0,1,-1,3.0,-2,3.0,152.0,14.0,42.0,1.0,-1
1621,10,1,0.0,264.0,1,4.0,4.0,1,-1,3.0,-2,3.0,-78.0,16.0,46.0,0.0,-1
1733,6,1,0.0,306.0,1,4.0,4.0,1,-1,3.0,-2,3.0,296.0,16.0,0.0,0.0,-1
1765,6,1,0.0,202.0,1,4.0,4.0,1,-1,3.0,-2,3.0,44.0,18.0,0.0,0.0,-1
677,38,2,0.0,310.0,1,0.0,-4.0,1,1,0.0,0,-3.0,118.0,20.0,0.0,0.0,-1
868,52,2,0.0,380.0,0,0.0,-4.0,1,1,0.0,0,-3.0,62.0,48.0,76.0,0.0,-1
1203,16,1,0.0,334.0,1,0.0,-4.0,1,1,0.0,0,-3.0,238.0,24.0,390.0,0.0,-1
1438,12,1,0.0,252.0,-1,0.0,-4.0,1,1,0.0,0,-3.0,-12.0,30.0,-42.0,0.0,-1
1487,12,1,0.0,362.0,1,22.0,-4.0,1,1,3.0,-2,0.0,62.0,18.0,406.0,0.0,-1
426,44,2,0.0,400.0,-1,6.0,6.0,1,-1,2.3333332538604736,-1,2.3333332538604736,178.0,-20.0,280.0,-1.0,0
427,42,2,0.0,400.0,1,6.0,6.0,1,-1,3.0,-2,3.0,52.0,16.0,6534.0,0.0,-1
720,66,2,0.0,276.0,1,6.0,6.0,1,-1,3.0,-2,3.0,80.0,-14.0,-16.0,-1.0,0
893,50,2,0.0,450.0,0,2.0,-6.0,1,1,3.0,-2,0.0,154.0,-86.0,1246.0,-1.0,0
1603,10,1,0.0,344.0,1,14.0,-6.0,1,1,3.0,-2,0.0,48.0,14.0,1226.0,0.0,-1
196,26,1,0.0,278.0,-1,4.0,-8.0,1,1,2.5,-1,-0.5,18.0,88.0,3468.0,0.0,-1
434,40,2,0.0,462.0,1,4.0,-8.0,1,1,3.0,-2,0.0,236.0,56.0,-3370.0,0.0,-1
1264,18,1,0.0,212.0,1,10.0,10.0,1,-1,3.200000047683716,-2,3.200000047683716,80.0,14.0,-38.0,-1.0,0
218,28,1,0.0,346.0,-1,0.0,-10.0,1,1,0.0,0,-3.0,-66.0,-12.0,-40.0,0.0,-1
281,30,2,0.0,292.0,-1,0.0,-10.0,1,1,0.0,0,-3.0,-100.0,-16.0,-56.0,0.0,-1
245,30,2,0.0,170.0,-1,2.0,-12.0,1,1,3.0,-2,0.0,-60.0,0.0,-74.0,0.0,-1
286,18,1,0.0,270.0,1,12.0,12.0,1,-1,2.5999999046325684,-1,2.5999999046325684,352.0,0.0,-36.0,4.0,-1
683,40,2,0.0,330.0,-1,8.0,-16.0,1,1,3.0,-2,0.0,130.0,0.0,8.0,-2.0,0
955,12,1,0.0,358.0,1,10.0,-28.0,1,1,3.0,-2,0.0,-58.0,0.0,1228.0,0.0,-1
1094,22,1,0.0,92.0,1,0.0,-12.0,1,1,0.0,0,-3.0,50.0,0.0,-82.0,-3.0,0
1114,18,1,0.0,174.0,-1,0.0,-16.0,1,1,0.0,0,-3.0,-48.0,0.0,-1456.0,1.0,-1
1136,20,1,0.0,126.0,-1,0.0,-12.0,1,1,0.0,0,-3.0,-52.0,0.0,-10.0,2.0,-1
1432,14,1,0.0,104.0,0,36.0,26.0,1,-1,2.555555582046509,-1,-0.4444444477558136,70.0,0.0,0.0,-2.0,0
1513,12,1,0.0,102.0,-1,10.0,-32.0,1,1,3.0,-2,0.0,-86.0,0.0,2.0,4.0,-1
1698,8,1,0.0,308.0,1,20.0,20.0,1,-1,3.0,-2,3.0,64.0,0.0,84.0,2.0,-1
1704,8,1,0.0,192.0,1,12.0,12.0,1,-1,2.799999952316284,-1,2.799999952316284,192.0,0.0,50.0,0.0,-1
1,134,2,0.0,124.0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,-32.0,31.0,-1
2,116,2,0.0,276.0,-1,0.0,0.0,0,0,0.0,0,0.0,86.0,0.0,-66.0,0.0,-1
4,112,2,0.0,156.0,-1,0.0,0.0,0,0,0.0,0,0.0,-14.0,0.0,60.0,14.0,-1
6,104,2,0.0,134.0,1,0.0,0.0,0,0,0.0,0,0.0,8.0,0.0,154.0,31.0,-1
7,110,2,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,-4.0,31.0,-1
8,108,2,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,31.0,-1
11,64,2,0.0,134.0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,31.0,-1
15,98,2,0.0,248.0,1,0.0,0.0,0,0,0.0,0,0.0,20.0,0.0,-376.0,31.0,-1
17,102,2,0.0,154.0,-1,0.0,0.0,0,0,0.0,0,0.0,-2.0,0.0,-162.0,-6.0,0
18,98,2,0.0,170.0,0,0.0,0.0,0,0,0.0,0,0.0,2.0,0.0,0.0,-12.0,0
20,94,2,1.0,0.0,-1,0.0,0.0,0,0,0.0,0,0.0,-14.0,0.0,0.0,-53.0,0
21,96,2,0.0,78.0,-1,0.0,0.0,0,0,0.0,0,0.0,-2.0,0.0,66.0,-5.0,0
23,92,2,0.0,20.0,1,0.0,0.0,0,0,0.0,0,0.0,20.0,0.0,0.0,31.0,-1
24,90,2,0.0,90.0,0,0.0,0.0,0,0,0.0,0,0.0,14.0,0.0,-26.0,3.0,-1
26,94,2,0.0,34.0,-1,0.0,0.0,0,0,0.0,0,0.0,-8.0,0.0,4.0,-10.0,0
28,76,2,0.0,396.0,-1,0.0,0.0,0,0,0.0,0,0.0,42.0,0.0,-344.0,0.0,-1
29,76,2,0.0,154.0,-1,0.0,0.0,0,0,0.0,0,0.0,-6.0,0.0,1432.0,-1.0,0
30,94,2,0.0,164.0,0,0.0,0.0,0,0,0.0,0,0.0,22.0,0.0,0.0,3.0,-1
32,56,2,0.0,304.0,-1,0.0,0.0,0,0,0.0,0,0.0,38.0,0.0,18.0,-2.0,0
36,92,2,0.0,148.0,0,0.0,0.0,0,0,0.0,0,0.0,2.0,0.0,0.0,-3.0,0
38,90,2,0.0,118.0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,-114.0,31.0,-1
41,56,2,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,31.0,-1
42,80,2,0.0,0.0,-1,0.0,0.0,0,0,0.0,0,0.0,-16.0,0.0,-432.0,6.0,-1
44,90,2,0.0,146.0,-1,0.0,0.0,0,0,0.0,0,0.0,12.0,0.0,-2.0,-24.0,0
46,84,2,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,31.0,-1
47,90,2,0.0,180.0,0,0.0,0.0,0,0,0.0,0,0.0,14.0,0.0,-146.0,0.0,-1
48,90,2,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,31.0,-1
49,86,2,0.0,96.0,-1,0.0,0.0,0,0,0.0,0,0.0,-6.0,0.0,0.0,3.0,-1
50,90,2,0.0,94.0,-1,0.0,0.0,0,0,0.0,0,0.0,-24.0,0.0,0.0,3.0,-1
51,82,2,0.0,62.0,-1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,-64.0,31.0,-1
52,88,2,0.0,152.0,1,0.0,0.0,0,0,0.0,0,0.0,36.0,0.0,4.0,31.0,-1
53,88,2,0.0,210.0,-1,0.0,0.0,0,0,0.0,0,0.0,2.0,0.0,1338.0,18.0,-1
54,82,2,0.0,120.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,30.0,-1
56,90,2,0.0,38.0,-1,0.0,0.0,0,0,0.0,0,0.0,22.0,0.0,0.0,-3.0,0
57,88,2,0.0,190.0,-1,0.0,0.0,0,0,0.0,0,0.0,-22.0,0.0,12.0,10.0,-1
59,84,2,0.0,160.0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,-32.0,21.0,-1
61,86,2,0.0,102.0,-1,0.0,0.0,0,0,0.0,0,0.0,-10.0,0.0,0.0,-89.0,0
62,84,2,0.0,176.0,-1,0.0,0.0,0,0,0.0,0,0.0,-20.0,0.0,-5222.0,1.0,-1
63,86,2,0.0,136.0,-1,0.0,0.0,0,0,0.0,0,0.0,6.0,0.0,0.0,-67.0,0
64,84,2,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,31.0,-1
66,86,2,0.0,126.0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,31.0,-1
69,84,2,0.0,152.0,-1,0.0,0.0,0,0,0.0,0,0.0,24.0,0.0,3160.0,31.0,-1
70,84,2,0.0,88.0,-1,0.0,0.0,0,0,0.0,0,0.0,-6.0,0.0,0.0,-1.0,0
72,84,2,0.0,170.0,0,0.0,0.0,0,0,0.0,0,0.0,50.0,0.0,0.0,-3.0,0
73,84,2,0.0,0.0,-1,0.0,0.0,0,0,0.0,0,0.0,-2.0,0.0,0.0,25.0,-1
74,84,2,0.0,262.0,-1,0.0,0.0,0,0,0.0,0,0.0,4.0,0.0,978.0,31.0,-1
75,82,2,0.0,120.0,1,0.0,0.0,0,0,0.0,0,0.0,8.0,0.0,-570.0,10.0,-1
76,84,2,0.0,236.0,1,0.0,0.0,0,0,0.0,0,0.0,22.0,0.0,0.0,18.0,-1
83,28,1,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,30.0,-1
89,28,1,0.0,10.0,-1,0.0,0.0,0,0,0.0,0,0.0,-2.0,0.0,-1422.0,15.0,-1
91,28,1,1.0,52.0,-1,0.0,0.0,0,0,0.0,0,0.0,8.0,0.0,-20.0,-3.0,0
92,26,1,0.0,0.0,-1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,-8.0,30.0,-1
94,2,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1
97,2,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-1
98,22,1,0.0,118.0,0,0.0,0.0,0,0,0.0,0,0.0,-4.0,0.0,-168.0,-3.0,0
99,24,1,1.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,31.0,-1
101,28,1,0.0,268.0,-1,0.0,0.0,0,0,0.0,0,0.0,6.0,0.0,-38.0,0.0,-1
103,26,1,0.0,176.0,1,0.0,0.0,0,0,0.0,0,0.0,22.0,0.0,56.0,-2.0,0
107,24,1,0.0,12.0,-1,0.0,0.0,0,0,0.0,0,0.0,-6.0,0.0,0.0,5.0,-1
110,26,1,0.0,36.0,-1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,-4.0,30.0,-1
112,28,1,0.0,296.0,1,0.0,0.0,0,0,0.0,0,0.0,8.0,0.0,-54.0,20.0,-1
115,20,1,0.0,68.0,1,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,-256.0,31.0,-1
116,28,1,0.0,240.0,0,0.0,0.0,0,0,0.0,0,0.0,-4.0,0.0,-132.0,-2.0,0
